"","column","range","mean"
"41","tBodyGyroJerkMag-mean()","-0.8823  to  -0.4057","-0.7457"
"42","tBodyGyroJerkMag-std()","-0.9021  to  -0.4615","-0.7645"
"43","fBodyAcc-mean()-X","-0.8096  to  -0.1137","-0.5983"
"44","fBodyAcc-mean()-Y","-0.7178  to  -0.0743","-0.5054"
"45","fBodyAcc-mean()-Z","-0.7781  to  -0.2965","-0.6484"
"46","fBodyAcc-std()-X","-0.7795  to  -0.1039","-0.5762"
"47","fBodyAcc-std()-Y","-0.7078  to  -0.0456","-0.4924"
"48","fBodyAcc-std()-Z","-0.7532  to  -0.1125","-0.5944"
"49","fBodyAcc-meanFreq()-X","-0.4972  to  -0.1068","-0.2322"
"50","fBodyAcc-meanFreq()-Y","-0.2535  to  0.1281","0.0088"
"51","fBodyAcc-meanFreq()-Z","-0.2601  to  0.1604","0.0377"
"52","fBodyAccJerk-mean()-X","-0.8513  to  -0.1848","-0.6359"
"53","fBodyAccJerk-mean()-Y","-0.7922  to  -0.2281","-0.6049"
"54","fBodyAccJerk-mean()-Z","-0.8771  to  -0.4343","-0.7316"
"55","fBodyAccJerk-std()-X","-0.8524  to  -0.2025","-0.6332"
"56","fBodyAccJerk-std()-Y","-0.7778  to  -0.2249","-0.5853"
"57","fBodyAccJerk-std()-Z","-0.894  to  -0.5161","-0.7706"
"58","fBodyAccJerk-meanFreq()-X","-0.3584  to  0.1003","-0.0639"
"59","fBodyAccJerk-meanFreq()-Y","-0.5929  to  -0.0816","-0.2276"
"60","fBodyAccJerk-meanFreq()-Z","-0.4658  to  0.0112","-0.1347"
"61","fBodyGyro-mean()-X","-0.824  to  -0.3087","-0.6489"
"62","fBodyGyro-mean()-Y","-0.8557  to  -0.1864","-0.6851"
"63","fBodyGyro-mean()-Z","-0.8111  to  -0.1789","-0.6212"
"64","fBodyGyro-std()-X","-0.848  to  -0.3723","-0.7179"
"65","fBodyGyro-std()-Y","-0.8103  to  -0.0339","-0.6463"
"66","fBodyGyro-std()-Z","-0.8198  to  -0.3627","-0.6729"
"67","fBodyGyro-meanFreq()-X","-0.3199  to  0.0289","-0.1082"
"68","fBodyGyro-meanFreq()-Y","-0.4383  to  -0.0428","-0.1754"
"69","fBodyGyro-meanFreq()-Z","-0.2297  to  0.1303","-0.053"
"70","fBodyAccMag-mean()","-0.7564  to  -0.0676","-0.5606"
"71","fBodyAccMag-std()","-0.7732  to  -0.2643","-0.6393"
"72","fBodyAccMag-meanFreq()","-0.1469  to  0.1922","0.0732"
"73","fBodyBodyAccJerkMag-mean()","-0.8282  to  -0.1197","-0.5984"
"74","fBodyBodyAccJerkMag-std()","-0.826  to  -0.2543","-0.6219"
"75","fBodyBodyAccJerkMag-meanFreq()","0.0497  to  0.2812","0.1674"
"76","fBodyBodyGyroMag-mean()","-0.8314  to  -0.2483","-0.6748"
"77","fBodyBodyGyroMag-std()","-0.8578  to  -0.3247","-0.678"
"78","fBodyBodyGyroMag-meanFreq()","-0.2297  to  0.1572","-0.037"
"79","fBodyBodyGyroJerkMag-mean()","-0.9054  to  -0.436","-0.7652"
"80","fBodyBodyGyroJerkMag-std()","-0.9048  to  -0.5376","-0.7812"
"81","fBodyBodyGyroJerkMag-meanFreq()","-0.047  to  0.2815","0.1285"
"82","angle(tBodyAccMean,gravity)","-0.0268  to  0.098","0.0088"
"83","angle(tBodyAccJerkMean),gravityMean)","-0.0675  to  0.0659","0.0014"
"84","angle(tBodyGyroMean,gravityMean)","-0.1267  to  0.1189","0.015"
"85","angle(tBodyGyroJerkMean,gravityMean)","-0.0645  to  0.052","-0.0083"
"86","angle(X,gravityMean)","-0.8341  to  -0.2977","-0.507"
"87","angle(Y,gravityMean)","-0.0775  to  0.3118","0.071"
"88","angle(Z,gravityMean)","-0.1886  to  0.1215","-0.0481"
